start_station_id,end_station_id,start_station_name,end_station_name,train_no,available_classes,train_ends_at,train_ends_time,your_station,start_arrival_time,start_departure_time,dest_station,dest_time,end_arrival_time,frequency,train_name,train_type,price_1st_rs,price_2nd_rs,price_3rd_rs,total_distance_km
3,428,ABANPOLA,INUVIL,4089,,,,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ABANPOLA,22:52:00,22:53:00,KANKESANTHURAI,04:24:00,04:05:00,Daily,"Mail LONG DISTANCE Available Classes: 2nd Class , 3rd Class Train ends at KANKESANTHURAI at 04:24:00",,,850.0,420.0,252.66
3,422,ABANPOLA,KONDAVIL,4077,"2nd Class, 3rd Class",KANKESANTHURAI,04:24:00,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ABANPOLA,09:34:00,09:35:00,KANKESANTHURAI,14:33:00,14:16:00,Daily,"YAL DEVI LONG DISTANCE Available Classes: 1st Class , 2nd Class , 3rd Class Train ends at KANKESANTHURAI at 14:33:00",,,850.0,420.0,250.15
3,422,ABANPOLA,KONDAVIL,4089,,,,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ABANPOLA,09:34:00,09:35:00,KANKESANTHURAI,14:33:00,14:16:00,Daily,"YAL DEVI LONG DISTANCE Available Classes: 1st Class , 2nd Class , 3rd Class Train ends at KANKESANTHURAI at 14:33:00 Train No: 4077 ABANPOLA 22:52:00 22:53:00 KANKESANTHURAI 04:24:00 KONDAVIL 04:01:00 DAILY Mail LONG DISTANCE Available Classes: 2nd Class , 3rd Class Train ends at KANKESANTHURAI at 04:24:00",,,850.0,420.0,250.15
3,427,ABANPOLA,MALLAKAM,4089,,,,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ABANPOLA,22:52:00,22:53:00,KANKESANTHURAI,04:24:00,04:13:00,Daily,"Mail LONG DISTANCE Available Classes: 2nd Class , 3rd Class Train ends at KANKESANTHURAI at 04:24:00",,,850.0,420.0,256.74
3,437,ABANPOLA,TALAIMANNAR,5003,,,,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ABANPOLA,18:44:00,18:45:00,TALAIMANNAR PIER,22:13:00,22:10:00,Daily,"LONG DISTANCE Available Classes: 1st Class , 2nd Class , 3rd Class Train ends at TALAIMANNAR PIER at 22:13:00",,,700.0,340.0,184.5
410,421,ADAGALA,MEDDEGAMA,4850,3rd Class,KURUNEGALA,12:05:00,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ADAGALA,05:34:00,05:35:00,KURUNEGALA,06:44:00,06:32:00,Daily,4850 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 06:44:00,,,150.0,80.0,26.0
410,421,ADAGALA,MEDDEGAMA,4853,3rd Class,POLGAHAWELA,16:11:00,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ADAGALA,05:34:00,05:35:00,KURUNEGALA,06:44:00,06:32:00,Daily,4850 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 06:44:00 Train No: 4850 ADAGALA 11:11:00 11:12:00 KURUNEGALA 12:05:00 MEDDEGAMA 11:56:00 DAILY 4853 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 12:05:00,,,150.0,80.0,26.0
410,421,ADAGALA,MEDDEGAMA,4858,3rd Class,KURUNEGALA,18:01:00,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ADAGALA,05:34:00,05:35:00,KURUNEGALA,06:44:00,06:32:00,Daily,4850 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 06:44:00 Train No: 4850 ADAGALA 11:11:00 11:12:00 KURUNEGALA 12:05:00 MEDDEGAMA 11:56:00 DAILY 4853 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 12:05:00 Train No: 4853 ADAGALA 14:29:00 14:30:00 POLGAHAWELA 16:11:00 MEDDEGAMA 15:25:00 DAILY 4858 Rail Bus Available Classes: 3rd Class Train ends at POLGAHAWELA at 16:11:00,,,150.0,80.0,26.0
410,421,ADAGALA,MEDDEGAMA,4865,,,,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ADAGALA,05:34:00,05:35:00,KURUNEGALA,06:44:00,06:32:00,Daily,4850 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 06:44:00 Train No: 4850 ADAGALA 11:11:00 11:12:00 KURUNEGALA 12:05:00 MEDDEGAMA 11:56:00 DAILY 4853 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 12:05:00 Train No: 4853 ADAGALA 14:29:00 14:30:00 POLGAHAWELA 16:11:00 MEDDEGAMA 15:25:00 DAILY 4858 Rail Bus Available Classes: 3rd Class Train ends at POLGAHAWELA at 16:11:00 Train No: 4858 ADAGALA 16:59:00 17:00:00 KURUNEGALA 18:01:00 MEDDEGAMA 17:50:00 DAILY 4865 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 18:01:00,,,150.0,80.0,26.0
410,418,ADAGALA,PORAPOLA JUNC.,4850,3rd Class,KURUNEGALA,12:05:00,Train(s) available Direct Trains Your Station Arrival Time Departure Time Destination / Time End Station / Time Frequency Name Type ADAGALA,05:34:00,05:35:00,KURUNEGALA,06:44:00,06:08:00,Daily,4850 Baby Train Available Classes: 3rd Class Train ends at KURUNEGALA at 06:44:00,,,100.0,60.0,19.0
