station_id,station_name
3,ABANPOLA
410,ADAGALA
13,AGBOPURA
11,AHANGAMA
18,AHUNGALLE
7,AKURALA
22,ALAWATUPITIYA
9,ALAWWA
329,ALUTH AMBALAMA
8,ALUTHGAMA
1,AMBALANGODA
2,AMBEWELA
14,AMBEYPUSSA
19,ANAWILUNDAWA
10,ANDADOLA
5,ANGAMPITIYA
4,ANGULANA
12,ANURADHAPURA
15,ANURADHAPURA TOWN
6,ARACHCHIKATTUWA
343,ARAPATHGAMA
16,ARUKKUWATTE
17,ASELAPURA
467,ASGIRIYA
21,AUKANA
20,AVISSAWELLA
483,Arivial Nagar
23,BADULLA
31,BALANA
34,BALAPITIYA
35,BAMBALAPITIYA
488,BAMBARENDA
25,BANDARAWELA
28,BANGADENIYA
39,BASELINE ROAD
33,BATTALUOYA
24,BATTICALOA
41,BATUWATTE
490,BELIATHTHA
26,BEMMULLA
32,BENTOTA
36,BERUWALA
30,BOLAWATTE
38,BOOSSA
37,BORELESSA
40,BOTALE
27,BULUGAHAGODA
29,BUTHGAMUWA
475,Bandirippuwa
398,CHAVAKACHCHERI
371,CHEDDIIKULAM
44,CHILAW
43,CHINA BEY
423,CHUNNAKAM
61,COLOMBO FORT
46,COTTA ROAD
53,DARALUWA
54,DEHIWALA
47,DEMATAGODA
48,DEMODARA
52,DEWAPURAM
417,DEWEDDA
50,DIYATALAWA
51,DODANDUWA
337,Dekinda
60,EGODA UYANA
395,ELIPHANT PASS
57,ELLE
401,ELUTHUMATTUVAL
341,ELWALA
55,ENDERAMULLA
56,ERATTAPERIYAKULAM
59,ERAVUR
58,ERUKKALAM PENDU
104,FREE TRADE ZONE
64,GALABODA
69,GALGAMUWA
68,GALLE
62,GALLELLA
74,GALOYA JUNCTION
70,GAMMANA
75,GAMPAHA
76,GAMPOLA
71,GANEGODA
63,GANEMULLA
73,GANEWATTE
65,GANGODA
440,GANTALAWA
66,GELIOYA
72,GINTHOTA
77,GIRAMBE
67,GODAGAMA
79,GREAT WESTERN
479,Gangathilaka
81,HABARADUWA
82,HABARANA
84,HALIELA
92,HAPUTALE
80,HATAMUNA
87,HATARAS KOTUWA
96,HATTON
89,HEEL OYA
83,HEENDENIYA
91,HETTIMULLA
86,HIKKADUWA
93,HINGURAKGODA
444,HINGURALA
94,HIRIYALA
90,HOMAGAMA
85,HOMAGAMA HOSPITAL
95,HORAPE
88,HORIWIALA
97,HUNUPITIYA
98,HYINPORT
456,Hadiriwalana
100,IDALGASINNA
101,IHALAGAMA
102,IHALAKOTTE
